iteration,label,collective_prediction,collective_accuracy,mean_individual_accuracy,knowledge_coverage,knowledge_propagation_gain,message_count,learned_features,communication_density,communication_efficiency,emergence_score,collective_intelligence_score
28,1,1,1.0,0.95,0.9625,0.5125,86,82,0.22631578947368422,0.09669811320754716,0.37871462264150946,0.8061143867924528
29,0,0,1.0,1.0,0.9125,0.56875,86,91,0.22631578947368422,0.10731132075471699,0.34083726415094334,0.784751179245283
30,1,1,1.0,0.8,0.98125,0.53125,86,85,0.22631578947368422,0.10023584905660378,0.4534846698113207,0.8322954009433963
31,1,0,0.0,0.5,0.925,0.43125,86,69,0.22631578947368422,0.0813679245283019,0.34002358490566037,0.2870070754716981
32,1,1,1.0,0.85,0.98125,0.5375,86,86,0.22631578947368422,0.10141509433962265,0.4312205188679245,0.8256161556603774
33,1,1,1.0,0.95,0.95625,0.49375,86,79,0.22631578947368422,0.09316037735849057,0.3758195754716981,0.8039958726415094
34,1,1,1.0,0.7,0.9375,0.40625,86,65,0.22631578947368422,0.07665094339622641,0.4784551886792453,0.8310365566037736
35,0,0,1.0,0.8,0.9625,0.44375,86,71,0.22631578947368422,0.08372641509433962,0.44362028301886786,0.8255860849056603
36,1,1,1.0,1.0,0.9375,0.525,86,84,0.22631578947368422,0.09905660377358491,0.347936320754717,0.7918808962264151
37,0,0,1.0,1.0,0.925,0.5062500000000001,86,81,0.22631578947368422,0.09551886792452832,0.34285377358490565,0.7878561320754718
38,1,1,1.0,1.0,0.96875,0.46875,86,75,0.22631578947368422,0.0884433962264151,0.356751179245283,0.8007753537735849
39,1,1,1.0,0.8,0.91875,0.46874999999999994,86,75,0.22631578947368422,0.08844339622641509,0.42925117924528294,0.8125253537735848
40,0,0,1.0,0.8,0.95,0.44999999999999996,86,72,0.22631578947368422,0.08490566037735849,0.4394811320754716,0.8218443396226414
41,0,0,1.0,1.0,0.94375,0.49374999999999997,86,79,0.22631578947368422,0.09316037735849056,0.34894457547169805,0.7934333726415094
42,1,1,1.0,1.0,0.91875,0.5125,86,82,0.22631578947368422,0.09669811320754716,0.34090212264150943,0.7860206367924528
43,1,0,0.0,0.4,0.9375,0.54375,86,87,0.22631578947368422,0.1025943396226415,0.3486438679245283,0.2920931603773585
44,1,1,1.0,0.7,0.975,0.44999999999999996,86,72,0.22631578947368422,0.08490566037735849,0.49323113207547176,0.8429693396226416
45,1,1,1.0,1.0,0.94375,0.5125,86,82,0.22631578947368422,0.09669811320754716,0.3496521226415094,0.7936456367924528
